nummer,food_group
1,Fats & oils
2,Fats & oils
3,Fats & oils
4,Other
5,Fats & oils
6,Fats & oils
10,Fats & oils
12,Fats & oils
13,Fats & oils
17,Fats & oils
20,Fats & oils
21,Other
22,Dairy & eggs
23,Fats & oils
24,Fats & oils
25,Other
26,Other
29,Fats & oils
30,Fats & oils
31,Fats & oils
33,Fats & oils
34,Fats & oils
35,Fats & oils
37,Fats & oils
38,Fats & oils
39,Fats & oils
40,Fats & oils
41,Fats & oils
42,Fruit & veg
45,Fruit & veg
49,Fruit & veg
50,Other
51,Other
52,Fruit & veg
53,Other
55,Other
56,Dairy & eggs
57,Fruit & veg
58,Other
59,Other
60,Fruit & veg
62,Other
63,Other
64,Other
66,Dairy & eggs
68,Fats & oils
69,Fats & oils
70,Dairy & eggs
71,Dairy & eggs
72,Dairy & eggs
73,Dairy & eggs
74,Dairy & eggs
75,Other
76,Other
77,Dairy & eggs
78,Dairy & eggs
79,Dairy & eggs
80,Dairy & eggs
81,Dairy & eggs
82,Dairy & eggs
83,Fats & oils
84,Dairy & eggs
85,Dairy & eggs
86,Fats & oils
87,Dairy & eggs
92,Dairy & eggs
93,Dairy & eggs
94,Dairy & eggs
95,Dairy & eggs
96,Dairy & eggs
97,Dairy & eggs
98,Dairy & eggs
100,Dairy & eggs
101,Dairy & eggs
102,Dairy & eggs
103,Dairy & eggs
104,Dairy & eggs
105,Dairy & eggs
107,Dairy & eggs
108,Dairy & eggs
109,Dairy & eggs
110,Dairy & eggs
111,Dairy & eggs
113,Other
114,Dairy & eggs
115,Dairy & eggs
116,Sweets
118,Dairy & eggs
119,Dairy & eggs
120,Dairy & eggs
122,Sweets
123,Dairy & eggs
124,Dairy & eggs
126,Dairy & eggs
127,Dairy & eggs
128,Dairy & eggs
130,Dairy & eggs
133,Dairy & eggs
135,Dairy & eggs
136,Dairy & eggs
137,Dairy & eggs
142,Dairy & eggs
147,Dairy & eggs
148,Dairy & eggs
150,Dairy & eggs
151,Dairy & eggs
152,Other
154,Dairy & eggs
156,Sweets
157,Sweets
158,Sweets
160,Dairy & eggs
162,Grains & bread
163,Grains & bread
164,Grains & bread
165,Grains & bread
166,Grains & bread
167,Grains & bread
168,Grains & bread
169,Grains & bread
170,Grains & bread
171,Grains & bread
172,Grains & bread
173,Grains & bread
174,Grains & bread
175,Grains & bread
178,Dairy & eggs
180,Grains & bread
181,Sweets
182,Grains & bread
183,Sweets
185,Grains & bread
186,Grains & bread
187,Grains & bread
188,Sweets
190,Grains & bread
191,Grains & bread
193,Grains & bread
194,Other
195,Grains & bread
198,Grains & bread
200,Grains & bread
201,Grains & bread
202,Grains & bread
204,Dairy & eggs
205,Other
206,Grains & bread
207,Grains & bread
208,Grains & bread
209,Grains & bread
210,Dairy & eggs
213,Grains & bread
214,Grains & bread
216,Grains & bread
217,Dairy & eggs
219,Grains & bread
222,Dairy & eggs
224,Grains & bread
225,Grains & bread
226,Grains & bread
227,Grains & bread
229,Other
230,Fruit & veg
231,Fruit & veg
233,Fruit & veg
234,Fruit & veg
235,Fruit & veg
236,Fruit & veg
237,Fruit & veg
238,Fats & oils
241,Fruit & veg
242,Fruit & veg
244,Fruit & veg
245,Fruit & veg
246,Fruit & veg
248,Meat & fish
250,Meat & fish
252,Meat & fish
253,Meat & fish
254,Meat & fish
255,Other
256,Meat & fish
257,Dairy & eggs
258,Dairy & eggs
259,Dairy & eggs
260,Fruit & veg
261,Dairy & eggs
262,Other
263,Fruit & veg
264,Fruit & veg
266,Fruit & veg
268,Dairy & eggs
270,Dairy & eggs
271,Fruit & veg
272,Fruit & veg
273,Fruit & veg
274,Fruit & veg
275,Dairy & eggs
277,Dairy & eggs
278,Dairy & eggs
279,Dairy & eggs
280,Dairy & eggs
281,Fruit & veg
282,Fruit & veg
284,Dairy & eggs
286,Fruit & veg
287,Other
288,Other
289,Fruit & veg
290,Other
291,Other
292,Other
293,Other
294,Other
295,Other
296,Other
297,Other
298,Other
299,Fruit & veg
